champlain, flathead, goose, great_salt_lake, lower_red, manitoba, marion, mcconaugh, mead, mille_lacs_lake, mono, moultrie, nipigon, okeechobee, oneida, pontchartrain, sakakawea, salton_sea, sebago, tahoe, upper_klamath, winnebago, winnipesaukee
20190312, 1, 1, 0.95, 0.05, 1, 1, 0, 0.99, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.06, 0.48, 1, 1
20190313, 1, 1, 0.94, 0.04, 1, 1, 0, 0.9, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.05, 0.48, 1, 1
20190314, 1, 1, 0.94, 0.02, 1, 1, 0, 0.74, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0.06, 0.49, 1, 1
20190315, 0.99, 0.99, 0.97, 0.02, 1, 1, 0, 0.67, 0, 1, 0, 0, 1, 0, 0.91, 0, 1, 0, 1, 0.07, 0.5, 1, 1
20190316, 0.93, 0.99, 0.97, 0.02, 1, 1, 0, 0.82, 0, 1, 0, 0, 1, 0, 0.49, 0, 1, 0, 0.99, 0.1, 0.49, 1, 1
20190317, 0.88, 0.98, 0.95, 0.02, 1, 1, 0, 0.91, 0, 1, 0, 0, 1, 0, 0.23, 0, 1, 0, 0.96, 0.1, 0.49, 1, 0.99
20190318, 0.94, 0.96, 0.94, 0.02, 1, 1, 0, 0.93, 0, 1, 0, 0, 1, 0, 0.24, 0, 1, 0, 0.99, 0.1, 0.48, 1, 1
20190319, 0.96, 0.95, 0.93, 0.01, 1, 1, 0, 0.93, 0, 1, 0, 0, 1, 0, 0.24, 0, 1, 0, 1, 0.09, 0.47, 1, 1
20190320, 0.96, 0.94, 0.92, 0.01, 1, 1, 0, 0.91, 0, 1, 0, 0, 1, 0, 0.24, 0, 1, 0, 1, 0.07, 0.45, 1, 1
20190321, 0.94, 0.92, 0.85, 0.01, 1, 1, 0, 0.91, 0, 1, 0, 0, 1, 0, 0.23, 0, 0.99, 0, 1, 0.04, 0.38, 1, 1
20190322, 0.84, 0.91, 0.73, 0.01, 1, 1, 0, 0.91, 0, 1, 0, 0, 1, 0, 0.21, 0, 0.96, 0, 0.95, 0.03, 0.38, 1, 0.98
20190323, 0.74, 0.89, 0.67, 0, 1, 1, 0, 0.84, 0, 1, 0, 0, 1, 0, 0.2, 0, 0.92, 0, 0.94, 0.02, 0.36, 1, 0.97
20190324, 0.72, 0.83, 0.49, 0, 1, 1, 0, 0.52, 0, 1, 0, 0, 1, 0, 0.2, 0, 0.89, 0, 0.89, 0.01, 0.32, 1, 0.96
20190325, 0.69, 0.71, 0.31, 0, 1, 1, 0, 0.3, 0, 1, 0, 0, 1, 0, 0.2, 0, 0.8, 0, 0.86, 0.01, 0.33, 1, 0.93
20190326, 0.7, 0.51, 0.22, 0, 1, 1, 0, 0.12, 0, 1, 0, 0, 1, 0, 0.2, 0, 0.79, 0, 0.83, 0, 0.31, 1, 0.91
20190327, 0.79, 0.31, 0.07, 0, 1, 1, 0, 0.07, 0, 1, 0, 0, 1, 0, 0.21, 0, 0.67, 0, 0.93, 0, 0.31, 1, 0.98
20190328, 0.82, 0.27, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.22, 0, 0.59, 0, 0.99, 0.01, 0.28, 0.97, 0.99
20190329, 0.7, 0.04, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.2, 0, 0.55, 0, 0.84, 0, 0.26, 0.88, 0.93
20190330, 0.54, 0.01, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.17, 0, 0.58, 0, 0.61, 0, 0.28, 0.88, 0.9
20190331, 0.49, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.12, 0, 0.62, 0, 0.42, 0, 0.31, 0.85, 0.79
20190401, 0.3, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.07, 0, 0.57, 0, 0.13, 0, 0.32, 0.88, 0.6
20190402, 0.27, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.08, 0, 0.57, 0, 0.04, 0, 0.29, 0.91, 0.53
20190403, 0.28, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.07, 0, 0.51, 0, 0.02, 0, 0.21, 0.74, 0.65
20190404, 0.23, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.02, 0, 0.52, 0, 0, 0, 0.08, 0.69, 0.46
20190405, 0.22, 0, 0.03, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0.41, 0, 0, 0, 0, 0.69, 0.42
